document_id	courier_id	year	record_number	pages	catalogue_title	authors	filename
2440	56988	1970	57009	[28, 29, 30, 31, 32, 33]	Carthage through the eyes of Greece and Rome	Fantar, M'hamed Hassine	1970_056988_57009.txt
2441	56988	1970	57013	[34, 35, 36, 37, 38, 39, 40, 41]	Tunis; a jewel of Islam	Fradier, Georges	1970_056988_57013.txt
2442	56988	1970	57017	[45]	Jean Perrin, a pioneer of modern physics	Auger, Pierre	1970_056988_57017.txt
2443	56988	1970	188334	[4, 5, 6, 7, 8]	Carthage must not be destroyed	El Kafi, Jellal	1970_056988_188334.txt
2444	78253	1970	56754	[4, 5, 6, 7]	Is the space effort a waste of money?	Gregory, Gene	1970_078253_56754.txt
2445	78253	1970	56755	[8, 9, 10, 11, 12]	Spin-off from space satellites	Gregory, Gene	1970_078253_56755.txt
2446	78253	1970	56762	[13, 14, 15]	The New space-age technology	Gregory, Gene	1970_078253_56762.txt
2447	78253	1970	56769	[16, 17, 18, 19, 20, 21, 22, 23, 24]	Benefits to medicine	Gregory, Gene	1970_078253_56769.txt
2448	78253	1970	56773	[24, 25, 26]	The New space-age materials	Gregory, Gene	1970_078253_56773.txt
2449	78253	1970	56774	[27, 28]	New space-age power sources	Gregory, Gene	1970_078253_56774.txt
2450	78253	1970	56776	[29, 30]	Space-age electronics and pocket computers	Gregory, Gene	1970_078253_56776.txt
2451	78253	1970	56777	[31, 38]	The 'Systems approach'; applying the space team method to major problems on earth	Gregory, Gene	1970_078253_56777.txt
2452	78253	1970	56778	[32, 33, 34, 35, 36, 37]	Beyond Babel	Clarke, Arthur C.	1970_078253_56778.txt
2453	78255	1970	56798	[4, 5, 6, 7, 8, 9]	Cancer: where we stand	Higginson, John	1970_078255_56798.txt
2454	78255	1970	56799	[10, 11, 12, 13]	Cigarettes and cancer	Godber, George	1970_078255_56799.txt
2455	78255	1970	56802	[14, 15, 16]	The Case against smoking	Taylor, Robert M.	1970_078255_56802.txt
2456	78255	1970	56803	[17, 18, 19, 20, 21, 22]	Probing the secret of the cell	Odartchenko, Nicolas	1970_078255_56803.txt
2457	78255	1970	56805	[23, 24, 25, 26]	A False notion: cancer=incurable	Easson, Eric C.	1970_078255_56805.txt
2458	78255	1970	56806	[27, 28, 29]	Hidden factors in the 'geography' of cancer	Willard, Nedd	1970_078255_56806.txt
2459	78255	1970	56807	[30, 31, 32]	Air pollution and lung cancer	Waller, R.E.	1970_078255_56807.txt
2460	78262	1970	56753	[46, 47, 48, 49, 50, 51, 52, 53]	Man, the killer of nature	Thant, U.	1970_078262_56753.txt
2461	78262	1970	56886	[4, 5, 6]	Instinct or learned misbehaviour?	Behrman, Daniel	1970_078262_56886.txt
2462	78262	1970	56890	[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	Should we ape the chimpanzee?	Behrman, Daniel	1970_078262_56890.txt
2463	78262	1970	56894	[20, 21, 22]	The Big city syndrome	Behrman, Daniel	1970_078262_56894.txt
2464	78262	1970	56895	[22, 23]	From club to megabomb	Behrman, Daniel	1970_078262_56895.txt
2465	78262	1970	56902	[24, 25]	Man's real missing link	Behrman, Daniel	1970_078262_56902.txt
2466	78262	1970	56904	[26, 27, 28, 29, 30, 31, 32]	The Sane community, a density problem?	Leyhausen, Paul	1970_078262_56904.txt
2467	78262	1970	56907	[33, 34, 35, 36, 37, 38, 39]	The Tower of Babel	Ragette, Friedrich	1970_078262_56907.txt
2468	78262	1970	56909	[40, 41, 42, 43, 44, 45]	War is not in our genes	Carrighar, Sally	1970_078262_56909.txt
2469	78262	1970	56920	[54, 55, 56, 57, 58, 59]	The Concrete cage	Benthem, Roelof Jan	1970_078262_56920.txt
2470	78262	1970	56921	[60, 61, 62, 63, 64]	Industrial Europe faces the challenge of pollution	Passino, Roberto	1970_078262_56921.txt
2471	78262	1970	56922	[65, 66, 67, 68]	"The ""Year of the whale"""	Brabyn, Howard	1970_078262_56922.txt
2472	78264	1970	56924	[4, 5, 6, 7, 8, 9, 10]	The Harsh facts of the 1960s	Adiseshiah, Malcolm S.	1970_078264_56924.txt
2473	78264	1970	56928	[11, 12, 13, 14]	A Second chance in the 1970s	Adiseshiah, Malcolm S.	1970_078264_56928.txt
2474	78264	1970	56929	[15, 16]	The Plight of the Palestine refugee schools		1970_078264_56929.txt
2475	78264	1970	56945	[18, 19, 20, 21]	The Golden hoard of the Scythians	Kirpichnikov, Alexander	1970_078264_56945.txt
2476	78264	1970	56946	[22, 23, 24, 25, 26, 27, 32]	Museums for moderns	Cameron, Duncan F.	1970_078264_56946.txt
2477	78264	1970	56947	[28, 29, 30, 31]	United World Colleges: a new concept in international education	Sylte, Tor	1970_078264_56947.txt
2478	78378	1970	56824	[26, 27, 28, 29, 30, 31]	Lepenski Vir; Europe's oldest settlement on the banks of the Danube	Vidal, Jean	1970_078378_56824.txt
2479	78378	1970	56825	[10, 11, 12, 13, 14, 15, 16, 17]	Cairo: 1,000 years of history inscribed in stone	Zaky, Abdel Rahman	1970_078378_56825.txt
2480	78378	1970	56826	[21, 22, 23, 24, 25]	San Agustin: archaeological mystery of prehistoric Colombia	Sanz, Fernando	1970_078378_56826.txt
2481	78378	1970	56848	[4, 5, 6, 7, 8, 9]	Paestum: discovery of the first ancient Greek frescoes	Conil Lacoste, Michel	1970_078378_56848.txt
2482	78378	1970	56856	[32]	Non-scientists dissect science		1970_078378_56856.txt
2483	78379	1970	56969	[4, 5, 6, 7, 8, 9, 10, 11, 12]	The Arms race, escalation of total madness	Noel-Baker, Philip	1970_078379_56969.txt
2484	78379	1970	56970	[12, 13, 14]	Super arms for the developing countries	Stockholm International Peace Research Institute	1970_078379_56970.txt
2485	78379	1970	56971	[14]	10th anniversary of U.N. Declaration on the Independence of Colonial Peoples		1970_078379_56971.txt
2486	78379	1970	56973	[15, 16, 17, 18, 19, 20]	The Horror of bacteriological and chemical weaponry	United Nations	1970_078379_56973.txt
2487	78379	1970	56975	[21, 22, 30, 31, 32]	Peace research; the science of survival	Röling, Bert V.A.	1970_078379_56975.txt
2488	78379	1970	56977	[23]	100 wars and other conflicts since World War II	Stockholm International Peace Research Institute	1970_078379_56977.txt
2489	78379	1970	56978	[24, 25, 26, 27, 28, 29, 30, 31]	The Education revolution in Latin America	Soler Roca, Miguel	1970_078379_56978.txt
2490	184442	1970	56871	[4, 5]	Lenin and education, science and culture	Herzog, Marie Pierre	1970_184442_56871.txt
2491	184442	1970	56874	[6, 7, 8, 9, 10, 11]	Lenin and the development of science	Keldysh, Mstislav	1970_184442_56874.txt
2492	184442	1970	56875	[12, 13, 14, 15]	Education, key to social transformation	Stoletov, Vsevolod	1970_184442_56875.txt
2493	184442	1970	56876	[16, 17, 18, 19, 20, 21]	Lenin and cultural rights of minorities	Posti, Lauri A.	1970_184442_56876.txt
2494	184442	1970	56878	[22, 23, 24, 25, 26, 27]	The Art and monuments of Java	Daifuku, Hiroshi	1970_184442_56878.txt
2495	184442	1970	56879	[28, 29, 30, 31, 32]	Hunting clues to an ancient supercontinent	Behrman, Daniel	1970_184442_56879.txt
2496	52770	1971	52771	[21, 22, 23, 24]	The Thousand and one facets of culture		1971_052770_52771.txt
2497	52770	1971	52772	[25, 26, 27, 28, 29, 30, 31, 32]	The Independence of Africa and cultural decolonization	Ngugi Wa Thiong'O	1971_052770_52772.txt
2498	52770	1971	188335	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	Cultural policy, a modern dilemma	McDermott, Frank C.	1971_052770_188335.txt
2499	52879	1971	52880	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	Breakthrough to tomorrow	Jungk, Robert	1971_052879_52880.txt
2500	52879	1971	52883	[22, 23, 24, 25, 26, 27]	A Soviet scientist looks at futurology	Bestuzhev-Lada, Igor V.	1971_052879_52883.txt
2501	52879	1971	52884	[28, 29, 30, 31, 32]	Pondering the imponderable	Piganiol, Pierre	1971_052879_52884.txt
2502	52879	1971	52915	[16, 17, 18, 19, 20, 21]	Futurescapes of the 21st century; when teenagers and architects see eye to eye		1971_052879_52915.txt
2503	52879	1971	188336	[4, 5, 6, 7]	What future for futurology?	Le Lionnais, François	1971_052879_188336.txt
2504	52935	1971	52937	[24, 25, 26, 27, 32]	That chart on the laboratory wall	Teterin, Chenrikh|Terlon, Claire	1971_052935_52937.txt
2505	52935	1971	52938	[28, 29, 30, 31]	Science's hunt for the missing links of nature	Goldanski, Vitali I.	1971_052935_52938.txt
2506	52935	1971	188341	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	The Magic of modern chemistry	Gregory, Gene	1971_052935_188341.txt
2507	53853	1971	53852	[4, 5]	Youth of the world, youth of UNESCO	UNESCO. Director-General, 1962-1974 (Maheu, R.)	1971_053853_53852.txt
2508	53853	1971	53854	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]	Seasons of the mind	McEwing, Wayne	1971_053853_53854.txt
2509	53853	1971	53885	[60, 61, 62, 63]	Nubia: victory of international solidarity	El Sawi, Abdel Moneim	1971_053853_53885.txt
